Type,Min,Max,Centroid_Price,Strength
Resistance,196.0,232.0,213.43,75
Resistance,236.0,284.0,251.65,40
Resistance,296.0,394.0,330.87,23
Support,154.0,166.0,160.84,19
Support,168.0,178.0,173.83,6
Support,181.0,194.0,186.7,23
