Type,Min,Max,Centroid_Price,Strength
Resistance,775.0,1135.0,856.62,71
Resistance,1405.0,1605.0,1478.75,4
Resistance,1765.0,1870.0,1820.0,5
Support,318.0,510.0,405.59,34
Support,525.0,680.0,628.93,28
Support,690.0,765.0,735.58,26
