Type,Min,Max,Centroid_Price,Strength
Resistance,103.0,129.0,116.58,24
Resistance,136.0,169.0,153.93,28
Resistance,179.0,234.0,190.75,16
Support,51.0,51.0,51.0,1
Support,76.0,86.0,81.5,6
Support,99.0,99.0,99.0,1
