Type,Min,Max,Centroid_Price,Strength
Resistance,346.0,414.0,382.84,50
Resistance,418.0,510.0,446.23,26
Resistance,545.0,645.0,591.25,8
Support,82.0,154.0,124.06,17
Support,200.0,276.0,245.21,28
Support,280.0,342.0,309.96,45
