Type,Min,Max,Centroid_Price,Strength
Resistance,1310.0,1785.0,1619.1,78
Resistance,1810.0,2195.0,1996.82,22
Resistance,2215.0,2950.0,2424.74,19
Support,213.0,442.0,282.7,46
Support,566.0,786.0,650.75,8
Support,930.0,1300.0,1066.64,39
