Type,Min,Max,Centroid_Price,Strength
Resistance,222.0,266.0,243.62,37
Resistance,270.0,320.0,293.08,26
Resistance,330.0,404.0,361.43,7
Support,50.0,55.0,51.71,7
Support,84.0,156.0,113.08,51
Support,161.0,218.0,199.27,26
