Type,Min,Max,Centroid_Price,Strength
Resistance,184.0,210.0,196.16,76
Resistance,212.0,254.0,226.45,44
Resistance,266.0,322.0,291.33,6
Support,62.0,90.0,73.0,4
Support,100.0,136.0,120.14,29
Support,160.0,182.0,177.55,40
