Type,Min,Max,Centroid_Price,Strength
Resistance,2410.0,3300.0,2778.12,80
Resistance,3390.0,4530.0,3932.07,58
Support,1385.0,2070.0,1922.5,28
Support,2100.0,2370.0,2228.46,26
