Type,Min,Max,Centroid_Price,Strength
Resistance,1645.0,1660.0,1652.5,2
Resistance,1760.0,1770.0,1765.0,2
Support,55.0,334.0,170.87,96
Support,620.0,1460.0,947.21,68
