Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1483,1546,1514,31.71,19,1514.0,0.0441,1450.0,350.96,1
Resistance,1583,1670,1626,43.59,11,1626.0,0.1214,1450.0,83.73,2
Resistance,1742,1862,1802,59.88,18,1802.0,0.2428,1450.0,71.21,3
Resistance,1989,2138,2064,74.85,22,2064.0,0.4234,1450.0,50.76,4
Resistance,2256,2421,2338,82.29,20,2338.0,0.6124,1450.0,32.13,5
Resistance,2597,2767,2682,85.11,16,2682.0,0.8497,1450.0,18.61,6
Resistance,2879,2973,2926,47.17,16,2926.0,1.0179,1450.0,15.57,7
Resistance,3092,3268,3180,88.41,13,3180.0,1.1931,1450.0,10.81,8
Support,1377,1437,1407,29.81,12,1407.0,0.0297,1450.0,302.61,1
Support,1276,1334,1305,29.13,17,1305.0,0.1,1450.0,154.55,2
Support,888,933,910,22.31,14,910.0,0.3724,1450.0,36.61,3
Support,1179,1243,1211,31.9,5,1211.0,0.1648,1450.0,28.6,4
Support,647,702,675,27.72,13,675.0,0.5345,1450.0,23.88,5
Support,989,1041,1015,26.46,6,1015.0,0.3,1450.0,19.35,6
Support,780,844,812,32.15,3,812.0,0.44,1450.0,6.67,7
Support,364,364,364,0.0,1,364.0,0.749,1450.0,1.32,8
