Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,59.0,86.0,69.04,45,59.0,0.0351,57.0,998.05,1
Resistance,88.0,131.0,104.05,20,88.0,0.5439,57.0,36.11,2
Support,52.0,56.0,53.75,8,56.0,0.0175,57.0,290.45,1
Support,50.0,51.0,50.11,9,51.0,0.1053,57.0,78.08,2
