Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,184.0,224.0,200.97,99,184.0,0.0055,183.0,6401.77,1
Resistance,226.0,322.0,249.04,27,226.0,0.235,183.0,110.22,2
Support,160.0,182.0,177.55,40,182.0,0.0055,183.0,2586.57,1
Support,62.0,136.0,114.42,33,136.0,0.2568,183.0,123.67,2
