Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,234.0,434.0,306.8,88,234.0,0.0354,226.0,1938.4,1
Resistance,438.0,735.0,568.96,24,438.0,0.9381,226.0,25.32,2
Support,190.0,224.0,209.21,29,224.0,0.0088,226.0,1538.5,1
Support,144.0,173.0,159.18,22,173.0,0.2345,226.0,89.97,2
