Type,Min,Max,Centroid_Price,Strength
Resistance,312.0,440.0,384.86,42
Resistance,480.0,735.0,562.19,57
Resistance,755.0,1120.0,915.96,26
Resistance,1150.0,1890.0,1371.96,23
Support,216.0,230.0,223.0,2
Support,242.0,246.0,244.67,3
Support,256.0,258.0,257.0,2
Support,300.0,300.0,300.0,2
