Type,Min,Max,Centroid_Price,Strength
Resistance,600.0,740.0,662.67,43
Resistance,770.0,970.0,860.0,10
Resistance,1045.0,1150.0,1095.71,7
Resistance,1295.0,1325.0,1306.67,3
Support,210.0,288.0,238.25,8
Support,354.0,438.0,396.44,18
Support,450.0,525.0,497.79,57
Support,530.0,590.0,558.55,31
