Type,Min,Max,Centroid_Price,Strength
Resistance,2620.0,2990.0,2851.54,26
Resistance,3040.0,3310.0,3165.0,22
Resistance,3370.0,3710.0,3536.67,9
Resistance,3790.0,4250.0,3992.78,18
Support,610.0,1175.0,1060.74,45
Support,1180.0,1475.0,1294.46,39
Support,1530.0,2000.0,1712.5,14
Support,2010.0,2570.0,2288.08,26
