Type,Min,Max,Centroid_Price,Strength
Resistance,234.0,302.0,261.23,44
Resistance,306.0,414.0,346.88,41
Resistance,420.0,550.0,486.59,17
Resistance,590.0,735.0,666.5,10
Support,144.0,149.0,145.75,4
Support,154.0,173.0,162.17,18
Support,190.0,204.0,197.36,11
Support,208.0,224.0,216.44,18
