Type,Min,Max,Centroid_Price,Strength
Resistance,1210.0,1255.0,1231.05,19
Resistance,1265.0,1330.0,1295.0,20
Resistance,1340.0,1425.0,1384.17,12
Resistance,1465.0,1550.0,1505.0,5
Support,210.0,390.0,335.45,33
Support,400.0,590.0,456.45,33
Support,605.0,910.0,742.27,22
Support,940.0,1200.0,1085.36,56
