Type,Min,Max,Centroid_Price,Strength
Resistance,1105.0,1280.0,1185.74,27
Resistance,1320.0,1485.0,1404.79,47
Resistance,1500.0,1735.0,1586.67,45
Resistance,1745.0,2260.0,1900.51,39
Support,605.0,605.0,605.0,1
Support,710.0,835.0,782.14,7
Support,900.0,970.0,942.14,7
Support,990.0,1085.0,1031.0,20
