Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,125,19,110,215,0.7249,0.8681,0.5319,0.6596
AKRA,190,39,83,158,0.7404,0.8297,0.696,0.757
APEX,128,16,123,202,0.7036,0.8889,0.51,0.6481
ARII,348,22,42,59,0.8641,0.9405,0.8923,0.9158
BBRM,132,36,147,156,0.6115,0.7857,0.4731,0.5906
BIPI,231,39,102,97,0.6994,0.8556,0.6937,0.7662
BULL,225,15,76,155,0.8068,0.9375,0.7475,0.8318
BUMI,180,29,99,161,0.7271,0.8612,0.6452,0.7377
DEWA,157,12,93,207,0.7761,0.929,0.628,0.7494
DOID,125,15,117,212,0.7186,0.8929,0.5165,0.6545
ELSA,78,15,145,233,0.6603,0.8387,0.3498,0.4937
ENRG,249,24,67,129,0.806,0.9121,0.788,0.8455
FIRE,40,29,168,233,0.5809,0.5797,0.1923,0.2888
HRUM,181,5,99,184,0.7783,0.9731,0.6464,0.7768
INDY,262,20,61,127,0.8277,0.9291,0.8111,0.8661
INPS,24,26,164,257,0.5966,0.48,0.1277,0.2017
ITMA,38,36,134,262,0.6383,0.5135,0.2209,0.3089
ITMG,303,0,45,121,0.9041,1.0,0.8707,0.9309
KKGI,76,8,161,224,0.6397,0.9048,0.3207,0.4735
LEAD,99,32,147,193,0.62,0.7557,0.4024,0.5252
MBSS,308,4,40,117,0.9062,0.9872,0.8851,0.9333
MEDC,141,44,97,189,0.7006,0.7622,0.5924,0.6667
PGAS,71,28,130,240,0.6631,0.7172,0.3532,0.4733
PTBA,270,17,78,104,0.7974,0.9408,0.7759,0.8504
PTRO,7,3,134,326,0.7085,0.7,0.0496,0.0927
RAJA,3,0,128,338,0.7271,1.0,0.0229,0.0448
RUIS,118,23,133,197,0.6688,0.8369,0.4701,0.602
SOCI,104,31,151,184,0.6128,0.7704,0.4078,0.5333
TAMU,55,7,278,130,0.3936,0.8871,0.1652,0.2785
TCPI,244,7,74,145,0.8277,0.9721,0.7673,0.8576
TEBE,171,32,131,135,0.6525,0.8424,0.5662,0.6772
TOBA,145,7,99,218,0.774,0.9539,0.5943,0.7323
TPMA,49,3,213,205,0.5404,0.9423,0.187,0.3121
WINS,134,35,117,185,0.6773,0.7929,0.5339,0.6381
