Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,2426,2566,2496,70.22,20
Resistance,2742,2873,2808,65.75,43
Resistance,2931,3107,3019,87.85,16
Resistance,3410,3580,3495,84.74,14
Resistance,3754,3892,3823,68.8,19
Resistance,4010,4180,4095,85.09,15
Resistance,4298,4496,4397,99.11,11
Support,1385,1385,1385,0.0,1
Support,1770,1804,1787,17.18,5
Support,1905,1953,1929,23.75,11
Support,2003,2041,2022,18.59,10
Support,2081,2139,2110,29.15,5
Support,2175,2241,2208,32.78,15
Support,2307,2362,2334,27.6,7
