Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,25385,26643,26014,629.25,9
Resistance,27934,29962,28948,1014.0,28
Resistance,33161,35296,34229,1067.7,14
Resistance,36932,38861,37896,964.51,14
Resistance,40363,41781,41072,708.92,16
Resistance,42552,43958,43255,702.54,5
Resistance,44134,45266,44700,565.82,9
Support,7096,8228,7662,566.02,35
Support,9860,10573,10217,356.6,6
Support,11522,12903,12212,690.74,24
Support,14118,16607,15362,1244.42,16
Support,19300,20685,19993,692.47,17
Support,22229,23049,22639,409.86,9
Support,23844,25053,24448,604.43,14
