Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,198,205,201,3.19,23
Resistance,210,216,213,3.28,29
Resistance,222,230,226,4.3,23
Resistance,238,245,242,3.7,23
Resistance,256,268,262,5.81,14
Resistance,279,296,287,8.32,5
Resistance,304,316,310,5.93,6
Resistance,323,339,331,7.78,8
Resistance,342,375,358,16.31,7
Support,154,155,155,0.71,2
Support,159,161,160,1.04,13
Support,165,166,166,0.58,4
Support,168,168,168,0.0,2
Support,174,174,174,0.0,1
Support,177,178,178,0.58,3
Support,181,182,182,0.76,7
Support,185,187,186,0.98,7
Support,189,192,191,1.64,9
