Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,602,618,610,7.75,11
Resistance,631,643,637,6.32,10
Resistance,666,692,679,13.38,11
Resistance,709,751,730,21.21,13
Resistance,831,861,846,15.17,5
Resistance,917,966,942,24.66,3
Resistance,1037,1086,1062,24.66,3
Resistance,1100,1143,1121,21.75,4
Resistance,1291,1323,1307,16.07,3
Support,210,241,226,15.67,6
Support,259,293,276,16.97,2
Support,370,393,382,11.41,12
Support,417,435,426,9.07,6
Support,451,470,460,9.15,12
Support,486,503,494,8.58,20
Support,514,525,519,5.77,27
Support,538,554,546,7.79,16
Support,571,586,578,7.47,13
