Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1130,1241,1186,55.26,27,1186.0,0.0782,1100.0,306.19,1
Resistance,1359,1451,1405,46.05,47,1405.0,0.2773,1100.0,163.61,2
Resistance,1521,1652,1587,65.38,45,1587.0,0.4427,1100.0,99.4,3
Resistance,1787,2014,1901,113.91,39,1901.0,0.7282,1100.0,52.83,4
Support,1002,1060,1031,28.73,20,1031.0,0.0627,1100.0,275.0,1
Support,914,970,942,28.12,7,942.0,0.1436,1100.0,45.56,2
Support,736,828,782,46.18,7,782.0,0.2891,1100.0,23.4,3
Support,605,605,605,0.0,1,605.0,0.45,1100.0,2.17,4
