Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,140.0,191.0,167.33,66,140.0,0.0294,136.0,1674.63,1
Resistance,236.0,288.0,259.92,26,236.0,0.7353,136.0,34.89,2
Resistance,292.0,356.0,320.74,38,292.0,1.1471,136.0,32.84,3
Resistance,376.0,442.0,406.0,4,376.0,1.7647,136.0,2.25,4
Support,125.0,133.0,129.6,5,133.0,0.0221,136.0,155.96,1
Support,105.0,118.0,112.18,11,118.0,0.1324,136.0,77.27,2
Support,83.0,102.0,92.59,17,102.0,0.25,136.0,65.38,3
Support,56.0,80.0,68.5,6,80.0,0.4118,136.0,14.23,4
