Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,88,99,93,5.24,6,93.0,0.0941,85.0,57.63,1
Resistance,119,137,128,9.26,25,128.0,0.5059,85.0,48.46,2
Resistance,147,167,157,9.73,13,157.0,0.8471,85.0,15.17,3
Resistance,177,214,196,18.58,13,196.0,1.3059,85.0,9.88,4
Support,65,69,67,2.04,12,67.0,0.2118,85.0,54.11,1
Support,57,62,59,2.5,14,59.0,0.3059,85.0,44.32,2
Support,72,78,75,3.2,4,75.0,0.1176,85.0,31.34,3
Support,50,54,52,2.0,8,52.0,0.3882,85.0,20.09,4
