Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2726,2977,2852,125.59,26,2852.0,0.1012,2590.0,233.9,1
Resistance,3085,3245,3165,80.46,22,3165.0,0.222,2590.0,94.82,2
Resistance,3862,4124,3993,131.1,18,3993.0,0.5417,2590.0,32.63,3
Resistance,3391,3682,3537,145.6,9,3537.0,0.3656,2590.0,23.96,4
Support,2129,2447,2288,158.9,26,2288.0,0.1166,2590.0,205.37,1
Support,1215,1374,1294,79.74,39,1294.0,0.5004,2590.0,76.41,2
Support,940,1181,1061,120.39,45,1061.0,0.5903,2590.0,74.96,3
Support,1573,1852,1712,139.72,14,1712.0,0.339,2590.0,40.12,4
