Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,388.0,434.0,416.0,9,388.0,0.0052,386.0,592.83,1
Resistance,545.0,595.0,570.0,9,545.0,0.4119,386.0,21.33,2
Resistance,480.0,530.0,502.25,4,480.0,0.2435,386.0,15.78,3
Resistance,625.0,665.0,645.0,2,625.0,0.6192,386.0,3.18,4
Support,304.0,384.0,329.44,18,384.0,0.0052,386.0,1185.67,1
Support,59.0,133.0,97.24,79,133.0,0.6554,386.0,118.72,2
Support,228.0,298.0,270.0,27,298.0,0.228,386.0,113.46,3
Support,137.0,210.0,170.81,47,210.0,0.456,386.0,100.87,4
