Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,103.0,129.0,116.58,24,103.0,0.0198,101.0,805.32,1
Resistance,136.0,153.0,146.79,14,136.0,0.3465,101.0,39.27,2
Resistance,156.0,169.0,161.07,14,156.0,0.5446,101.0,25.25,3
Resistance,179.0,234.0,190.75,16,179.0,0.7723,101.0,20.45,4
Support,99.0,99.0,99.0,1,99.0,0.0198,101.0,33.55,1
Support,83.0,86.0,84.33,3,86.0,0.1485,101.0,18.93,2
Support,76.0,81.0,78.67,3,81.0,0.198,101.0,14.42,3
Support,51.0,51.0,51.0,1,51.0,0.495,101.0,1.98,4
