Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,182.0,360.0,237.13,30,182.0,0.0964,166.0,281.99,1
Resistance,825.0,1430.0,1107.74,42,825.0,3.9699,166.0,10.55,2
Resistance,1450.0,2850.0,1791.19,59,1450.0,7.7349,166.0,7.62,3
Resistance,3210.0,7100.0,4104.52,21,3210.0,18.3373,166.0,1.14,4
Support,157.0,165.0,159.8,5,165.0,0.006,166.0,312.03,1
Support,135.0,145.0,140.0,2,145.0,0.1265,166.0,14.65,2
Support,124.0,133.0,129.0,3,133.0,0.1988,166.0,14.37,3
Support,105.0,105.0,105.0,1,105.0,0.3675,166.0,2.65,4
