Tanggal,Open,High,Low,Close,Volume
,INDY.JK,INDY.JK,INDY.JK,INDY.JK,INDY.JK
2019-12-26,897.9984741210938,919.7242436562815,897.9984741210938,897.9984741210938,9531700
2019-12-27,897.9984330974642,905.2403559450244,879.8936259785637,883.5145874023438,9272000
2019-12-30,876.2727362341461,887.1356213940735,858.167927634267,865.4098510742188,9784500
2020-01-02,865.4097600259072,876.2726440429688,850.925914669825,876.2726440429688,2738700
2020-01-03,876.2726143973215,890.7564592633929,876.2726143973215,887.135498046875,6196500
2020-01-06,883.5146177963688,908.8613486347894,872.6517331513315,894.3775024414062,9321000
2020-01-07,901.6193854836856,923.3451538085938,894.3774627087163,923.3451538085938,9192600
2020-01-08,919.7241916886295,919.7241916886295,897.998423381024,901.619384765625,6006900
2020-01-09,901.6194255380977,908.8613486347894,890.7565408930604,894.3775024414062,7766100
2020-01-10,916.103271484375,934.2080792212203,912.4823099370059,916.103271484375,15562000
2020-01-13,934.2080895131029,948.6919358621433,919.7242431640625,919.7242431640625,11119400
2020-01-14,934.2080372270332,941.449959996235,901.619384765625,901.619384765625,11287000
2020-01-15,897.9985168457031,897.9985168457031,869.0308227539062,869.0308227539062,10375400
2020-01-16,869.0308227539062,883.5146697998047,861.788899230957,869.0308227539062,9393200
2020-01-17,879.89370803833,879.89370803833,869.0308227539062,869.0308227539062,10560500
2020-01-20,869.030815494218,879.8937006878957,818.3373512570553,821.9583129882812,4967700
2020-01-21,821.9583544921875,829.2002783203125,803.853544921875,814.7164306640625,2846400
2020-01-22,814.7163391113281,821.958262125651,778.5067240397135,782.127685546875,3507000
2020-01-23,774.8858327557964,803.853527438256,764.0229472498739,785.7487182617188,3479500
2020-01-24,796.6116037676411,803.853527438256,778.5067945911038,785.7487182617188,1570200
2020-01-27,785.748690765683,785.748690765683,727.8133034281211,731.4342651367188,4633100
2020-01-28,716.9503979729217,756.780975638084,691.6036667314547,745.9180908203125,5464700
2020-01-29,760.4020121560168,764.0229741186645,727.8133544921875,727.8133544921875,3924000
2020-01-30,731.4342663823342,735.0552280970982,709.70849609375,709.70849609375,3272500
2020-01-31,706.0874938964844,716.9503784179688,677.1198018391926,695.224609375,7273800
2020-02-03,684.3618194079789,698.8456674377775,640.9102753185834,662.6360473632812,4848400
2020-02-04,662.6360178629558,687.9827507866754,651.7731323242188,651.7731323242188,3675000
2020-02-05,669.8779516062026,684.3617992084988,651.7731421033322,655.3941040039062,5039800
2020-02-06,659.0150443412161,677.1198532516892,659.0150443412161,669.8779296875,1895600
2020-02-07,669.8779713781804,677.1198953930797,662.6360473632812,662.6360473632812,1515700
2020-02-10,659.0150709885818,662.6360329170905,608.3216039894601,611.9425659179688,7665500
2020-02-11,615.5634865565606,622.8054099278143,597.4586781284265,619.1844482421875,4891400
2020-02-12,622.8054099278143,633.6682949846947,615.5634865565606,619.1844482421875,3190500
2020-02-13,615.5634140386813,626.4262978158346,582.9747627072218,593.837646484375,3297700
2020-02-14,597.4587008079387,601.0796626310171,575.7329298694682,582.974853515625,3449300
2020-02-17,582.9748435974121,582.9748435974121,561.2490730285645,579.3538818359375,3338200
2020-02-18,579.3538602941177,615.5634765625,579.3538602941177,615.5634765625,5959600
2020-02-19,615.5634361089662,637.2892044422239,597.4586291645849,622.8053588867188,4536200
2020-02-20,626.4263501498789,680.7407735732787,622.8053885883188,677.1198120117188,10250500
2020-02-21,677.1198953930797,677.1198953930797,651.7731613409323,662.6360473632812,8329100
2020-02-24,662.6359341643578,662.6359341643578,622.8053588867188,622.8053588867188,4296400
2020-02-25,622.8054298003974,640.9102388062229,604.7006207945719,626.4263916015625,2947300
2020-02-26,626.4262978158346,630.0472590748857,586.5957239662729,593.837646484375,3346900
2020-02-27,593.8377305067979,604.7006158209466,550.386189250203,557.6281127929688,5182400
2020-02-28,543.1442260742188,543.1442260742188,496.07172648111975,543.1442260742188,9644900
2020-03-02,543.144279426628,572.1119743293815,514.1765845238746,517.7975463867188,4627400
2020-03-03,535.9023130303187,550.3861593284355,528.6603898812604,546.7651977539062,3588000
2020-03-04,554.007179989177,582.9748756748855,539.5233321463226,568.4910278320312,5104000
2020-03-05,575.7329009206671,597.45867076673,550.3861694335938,550.3861694335938,4098900
2020-03-06,554.0071526604729,554.0071526604729,525.0394584037161,535.90234375,1766600
2020-03-09,535.9022907194544,535.9022907194544,441.7572937011719,441.7572937011719,7536900
2020-03-10,427.27342926509795,467.104003179641,427.27342926509795,456.2411193847656,4805100
2020-03-11,463.4830948004202,463.4830948004202,420.0315546628808,430.8944396972656,3595400
2020-03-12,416.4105733235677,420.03153483072913,391.0638427734375,391.0638427734375,4827300
2020-03-13,365.7171221983085,391.06385343977547,365.7171221983085,372.95904541015625,5475100
2020-03-16,365.71711222330725,372.9590352376302,347.6123046875,347.6123046875,3127900
2020-03-17,330.23174122401645,344.71558952331543,324.4382019042969,324.4382019042969,2972500
2020-03-18,322.9897881466806,322.9897881466806,302.71240234375,302.71240234375,2958900
2020-03-19,282.4350280761719,289.67695187299677,282.4350280761719,282.4350280761719,5502800
2020-03-20,279.53822835286456,351.95745849609375,263.60599772135413,351.95745849609375,17599000
2020-03-23,351.95745849609375,416.4105733235677,327.3349202473958,347.6123046875,24647000
2020-03-24,354.85423710661115,401.92673794728404,350.5090831828567,383.8219299316406,11677400
2020-03-26,412.7896025390625,467.10402392578123,405.5476796875,452.62017822265625,17166800
2020-03-27,488.82982227900254,564.8700168557363,474.345975692958,528.660400390625,21761100
2020-03-30,506.93465288947607,506.93465288947607,492.45080566406244,492.4508056640625,5678700
2020-03-31,499.69272838565087,535.9023463846111,477.96695758627476,503.3136901855469,6609100
2020-04-01,506.93462082435343,572.1119292160561,477.96692820581893,525.0394287109375,9040300
2020-04-02,532.2813415527344,554.0071105957031,506.93461100260413,543.1442260742188,5542000
2020-04-03,554.0071526604729,568.4909997888514,528.6604201858108,535.90234375,4416100
2020-04-06,546.7652779373468,561.2491263595282,521.4185431985294,554.0072021484375,7564400
2020-04-07,572.1119287756105,579.3538519246689,528.6603898812604,546.7651977539062,7819700
2020-04-08,550.3861908783783,550.3861908783783,514.1765730574324,535.90234375,6107500
2020-04-09,535.9023030598958,561.249033610026,528.6603800455729,543.1442260742188,6148900
2020-04-13,550.3861694335938,557.6280927156147,539.5232845105622,550.3861694335938,1893600
2020-04-14,550.3862366106525,575.7329711914062,546.7652745276877,575.7329711914062,4963700
2020-04-15,568.4910081432712,593.8377409904234,557.6281226373488,561.2490844726562,5047600
2020-04-16,579.3538834212662,579.3538834212662,550.386189250203,557.6281127929688,2064400
2020-04-17,557.6281226373488,572.1119699785786,550.3861989667339,561.2490844726562,3360000
