Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,377,393,385,8.07,10
Resistance,408,419,413,5.52,11
Resistance,433,450,442,8.4,8
Resistance,461,477,469,7.73,10
Resistance,491,503,497,5.96,10
Resistance,515,530,522,7.56,8
Resistance,542,571,557,14.43,3
Resistance,607,639,623,16.14,13
Resistance,662,681,671,9.46,4
Resistance,744,751,748,3.54,2
Support,137,152,144,7.13,5
Support,165,172,168,3.54,2
Support,178,184,181,2.88,31
Support,191,201,196,5.2,9
Support,217,223,220,2.73,9
Support,230,236,233,3.24,7
Support,248,256,252,3.67,17
Support,265,275,270,4.6,18
Support,295,309,302,6.86,6
Support,345,358,352,6.54,5
