Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,2410.0,2650.0,2496.0,20,2410.0,0.0042,2400.0,1411.76,1
Resistance,2700.0,3410.0,2889.19,62,2700.0,0.125,2400.0,459.26,2
Resistance,3440.0,4530.0,3951.07,56,3440.0,0.4333,2400.0,126.32,3
Support,2100.0,2370.0,2228.46,26,2370.0,0.0125,2400.0,1155.56,1
Support,1770.0,2070.0,1942.41,27,2070.0,0.1375,2400.0,183.05,2
Support,1385.0,1385.0,1385.0,1,1385.0,0.4229,2400.0,2.31,3
