Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,346.0,414.0,382.84,50,346.0,0.0058,344.0,3161.76,1
Resistance,418.0,510.0,446.23,26,418.0,0.2151,344.0,115.5,2
Resistance,545.0,645.0,591.25,8,545.0,0.5843,344.0,13.46,3
Support,280.0,342.0,309.96,45,342.0,0.0058,344.0,2845.59,1
Support,200.0,276.0,245.21,28,276.0,0.1977,344.0,134.83,2
Support,82.0,154.0,124.06,17,154.0,0.5523,344.0,30.23,3
