Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,392.0,406.0,396.8,10,392.0,0.0051,390.0,661.02,1
Resistance,414.0,460.0,426.8,20,414.0,0.0615,390.0,279.57,2
Resistance,476.0,525.0,502.0,3,476.0,0.2205,390.0,13.01,3
Support,266.0,384.0,312.46,92,384.0,0.0154,390.0,3624.24,1
Support,182.0,264.0,218.54,39,264.0,0.3231,390.0,117.09,2
Support,124.0,172.0,144.83,6,172.0,0.559,390.0,10.55,3
