Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,312.0,615.0,456.52,85,312.0,0.0065,310.0,5166.67,1
Resistance,630.0,940.0,783.82,34,630.0,1.0323,310.0,32.62,2
Resistance,1060.0,1890.0,1314.66,29,1060.0,2.4194,310.0,11.94,3
Support,300.0,300.0,300.0,2,300.0,0.0323,310.0,47.33,1
Support,242.0,258.0,249.6,5,258.0,0.1677,310.0,28.13,2
Support,216.0,230.0,223.0,2,230.0,0.2581,310.0,7.46,3
