Type,Min,Max,Centroid_Price,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1310.0,1785.0,1619.1,78,1310.0,0.0038,1305.0,5639.34,1
Resistance,1810.0,2195.0,1996.82,22,1810.0,0.387,1305.0,55.42,2
Resistance,2215.0,2950.0,2424.74,19,2215.0,0.6973,1305.0,26.86,3
Support,930.0,1300.0,1066.64,39,1300.0,0.0038,1305.0,2819.67,1
Support,213.0,442.0,282.7,46,442.0,0.6613,1305.0,68.52,2
Support,566.0,786.0,650.75,8,786.0,0.3977,1305.0,19.62,3
