Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,1483,1546,1514,31.71,19
Resistance,1583,1670,1626,43.59,11
Resistance,1742,1862,1802,59.88,18
Resistance,1989,2138,2064,74.85,22
Resistance,2256,2421,2338,82.29,20
Resistance,2597,2767,2682,85.11,16
Resistance,2879,2973,2926,47.17,16
Resistance,3092,3268,3180,88.41,13
Support,364,364,364,0.0,1
Support,647,702,675,27.72,13
Support,780,844,812,32.15,3
Support,888,933,910,22.31,14
Support,989,1041,1015,26.46,6
Support,1179,1243,1211,31.9,5
Support,1276,1334,1305,29.13,17
Support,1377,1437,1407,29.81,12
