Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,431,27,5,8,0.9321,0.941,0.9885,0.9642
AKRA,335,71,20,45,0.8068,0.8251,0.9437,0.8804
APEX,394,49,10,18,0.8747,0.8894,0.9752,0.9303
ARII,407,54,3,7,0.879,0.8829,0.9927,0.9346
BBRM,302,97,36,36,0.7176,0.7569,0.8935,0.8195
BIPI,154,50,138,128,0.6,0.7549,0.5274,0.621
BULL,321,43,47,60,0.8089,0.8819,0.8723,0.877
BUMI,302,56,45,66,0.7846,0.8436,0.8703,0.8567
DEWA,143,36,92,200,0.7282,0.7989,0.6085,0.6908
DOID,291,55,42,83,0.7941,0.841,0.8739,0.8571
ELSA,308,79,35,49,0.758,0.7959,0.898,0.8438
ENRG,278,41,49,103,0.8089,0.8715,0.8502,0.8607
FIRE,246,34,70,121,0.7792,0.8786,0.7785,0.8255
HRUM,375,26,19,51,0.9045,0.9352,0.9518,0.9434
INDY,425,28,5,13,0.9299,0.9382,0.9884,0.9626
INPS,98,70,119,184,0.5987,0.5833,0.4516,0.5091
ITMA,309,56,31,75,0.8153,0.8466,0.9088,0.8766
ITMG,449,12,3,7,0.9682,0.974,0.9934,0.9836
KKGI,322,25,63,61,0.8132,0.928,0.8364,0.8798
LEAD,348,83,19,21,0.7834,0.8074,0.9482,0.8722
MBSS,346,48,24,53,0.8471,0.8782,0.9351,0.9058
MEDC,339,59,26,47,0.8195,0.8518,0.9288,0.8886
PGAS,423,37,5,6,0.9108,0.9196,0.9883,0.9527
PTBA,404,30,11,26,0.913,0.9309,0.9735,0.9517
PTRO,73,4,116,278,0.7452,0.9481,0.3862,0.5489
RAJA,173,4,75,219,0.8323,0.9774,0.6976,0.8141
RUIS,285,65,53,68,0.7495,0.8143,0.8432,0.8285
SOCI,344,39,34,54,0.845,0.8982,0.9101,0.9041
TCPI,274,77,43,77,0.7452,0.7806,0.8644,0.8204
TEBE,332,32,37,70,0.8535,0.9121,0.8997,0.9059
TOBA,289,44,41,96,0.8191,0.8679,0.8758,0.8718
TPMA,268,26,98,79,0.7367,0.9116,0.7322,0.8121
WINS,308,32,50,81,0.8259,0.9059,0.8603,0.8825
